"","GAWeeks","Num_Observations","Percentile_2.5","Percentile_3","Percentile_5","Percentile_10","Percentile_25","Percentile_50","Percentile_75","Percentile_90","Percentile_95","Percentile_97","Percentile_97.5"
"1",14,17,1.1654,1.17268,1.2018,1.25,1.35,1.5,1.6,1.692,1.916,2.1496,2.208
"2",15,11,1.1175,1.121,1.135,1.17,1.32,1.96,2.16,2.34,2.75,2.914,2.955
"3",16,26,1.27625,1.2775,1.29,1.41,1.6075,2.085,2.335,2.79,2.9475,3.02,3.03
"4",17,14,1.6425,1.649,1.675,1.749,1.8775,2.025,2.1825,2.777,2.931,2.9986,3.0155
"5",18,21,1.455,1.466,1.51,1.8,1.99,2.16,2.56,2.85,2.89,2.934,2.945
"6",19,123,1.731,1.7432,1.812,1.87,2.13,2.48,2.92,3.318,3.643,3.7336,3.758
"7",20,149,1.654,1.6644,1.848,2.05,2.27,2.66,3.05,3.712,3.948,4.222,4.346
"8",21,54,1.87325,1.8759,1.9645,2.172,2.4125,2.765,3.205,3.936,4.1135,4.1241,4.12675
"9",22,18,2.019,2.0428,2.138,2.187,2.67,3.105,3.575,4.484,5.694,6.0884,6.187
"10",23,15,2.278,2.2976,2.376,2.476,2.72,3.63,4.285,4.658,4.776,4.8376,4.853
"11",24,15,1.6195,1.7434,2.239,2.834,3,3.22,3.595,3.964,4.817,5.4862,5.6535
"12",25,4,2.516,2.5232,2.552,2.624,2.84,3.03,3.55,4.36,4.63,4.738,4.765
"13",26,11,1.585,1.652,1.92,2.59,2.825,3.59,4.135,4.69,5.785,6.223,6.3325
"14",27,14,1.95725,2.0047,2.1945,2.684,3.3725,3.82,4.5,4.787,5.083,5.2338,5.2715
"15",28,2,4.33875,4.3525,4.4075,4.545,4.9575,5.645,6.3325,6.745,6.8825,6.9375,6.95125
"16",NA,1,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26,2.26
