"","GAWeeks","Num_Observations","Percentile_2.5","Percentile_3","Percentile_5","Percentile_10","Percentile_25","Percentile_50","Percentile_75","Percentile_90","Percentile_95","Percentile_97","Percentile_97.5"
"1",14,17,0.636,0.6672,0.792,1.212,1.66,1.7,2.31,2.444,2.622,2.6572,2.666
"2",15,11,1.132,1.1404,1.174,1.258,1.45,1.92,3.09,3.096,3.108,3.1128,3.114
"3",16,26,1.195,1.212,1.28,1.28,1.55,1.76,2.19,2.46,2.47,2.51,2.52
"4",17,14,1.06825,1.0699,1.0765,1.091,1.565,2.07,2.345,2.849,22.484,32.0584,34.452
"5",18,21,1.135,1.162,1.27,1.34,1.58,2.03,2.37,2.72,2.95,3.122,3.165
"6",19,123,1.07,1.094,1.22,1.39,1.63,1.96,2.26,2.59,2.79,2.844,2.91
"7",20,149,0.96675,1.0192,1.12,1.31,1.6125,2.005,2.3025,2.656,2.833,2.9718,3.01575
"8",21,54,0.90325,0.9059,0.9425,1.282,1.515,1.87,2.2,2.547,2.597,2.651,2.6775
"9",22,18,0.794,0.8148,0.898,0.98,1.6,2.05,2.34,2.876,3.054,3.0604,3.062
"10",23,15,1.338,1.3536,1.416,1.522,1.63,1.72,2.02,2.488,2.766,2.9076,2.943
"11",24,15,0.4095,0.4914,0.819,1.29,1.7425,1.84,2.0725,2.344,2.4815,2.5569,2.57575
"12",25,4,1.897,1.9024,1.924,1.978,2.14,2.31,2.425,2.488,2.509,2.5174,2.5195
"13",26,11,1.215,1.232,1.3,1.47,1.66,1.85,2.11,2.29,2.84,3.06,3.115
"14",27,14,1.08,1.08,1.08,1.086,1.425,1.955,2.225,3.014,3.209,3.3494,3.3845
"15",28,2,0.58175,0.5841,0.5935,0.617,0.6875,0.805,0.9225,0.993,1.0165,1.0259,1.02825
"16",NA,1,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94,1.94
